vehicle_alias,vehicle_activity,start_time,end_time,software,user_name,team_name
VEHICLE0177,manual,2019-02-11 12:41:25,2019-02-11 12:41:29,software_v1,leia.organa,Team D
VEHICLE0177,manual,2019-02-11 12:41:29,2019-02-11 12:41:43,software_v1,leia.organa,Team D
VEHICLE0177,manual,2019-02-11 12:41:43,2019-02-11 12:52:33,software_v1,leia.organa,Team D
VEHICLE0177,manual,2019-02-11 12:52:33,2019-02-11 12:52:55,software_v1,leia.organa,Team D
VEHICLE0177,manual,2019-02-11 12:52:55,2019-02-11 12:53:04,software_v1,leia.organa,Team D
VEHICLE0177,manual,2019-02-11 12:53:04,2019-02-11 12:53:22,software_v1,leia.organa,Team D
VEHICLE0177,manual,2019-02-11 12:53:22,2019-02-11 12:53:26,software_v1,leia.organa,Team D
VEHICLE0158,autonomous,2019-02-11 12:54:47,2019-02-11 12:54:53,software_v1,jyn.erso,Team D
VEHICLE0158,parked,2019-02-11 12:54:53,2019-02-11 12:55:08,software_v1,jyn.erso,Team D
VEHICLE0158,autonomous,2019-02-11 12:55:08,2019-02-11 12:56:01,software_v1,jyn.erso,Team D
VEHICLE0158,manual,2019-02-11 12:56:01,2019-02-11 12:56:05,software_v1,jyn.erso,Team D
VEHICLE0158,manual,2019-02-11 12:56:05,2019-02-11 12:56:09,software_v1,jyn.erso,Team D
VEHICLE0158,autonomous,2019-02-11 12:56:09,2019-02-11 12:56:37,software_v1,jyn.erso,Team D
VEHICLE0158,autonomous,2019-02-11 12:56:37,2019-02-11 12:57:28,software_v1,jyn.erso,Team D
VEHICLE0158,autonomous,2019-02-11 12:57:28,2019-02-11 12:57:44,software_v1,jyn.erso,Team D
VEHICLE0158,autonomous,2019-02-11 12:57:44,2019-02-11 12:58:43,software_v1,jyn.erso,Team D
VEHICLE0177,parked,2019-02-11 12:53:26,2019-02-11 12:58:58,software_v1,leia.organa,Team D
VEHICLE0158,autonomous,2019-02-11 12:58:43,2019-02-11 12:58:58,software_v1,jyn.erso,Team D
VEHICLE0158,autonomous,2019-02-11 12:58:58,2019-02-11 12:59:06,software_v1,jyn.erso,Team D
VEHICLE0177,manual,2019-02-11 12:58:58,2019-02-11 12:59:09,software_v1,leia.organa,Team D
VEHICLE0158,manual,2019-02-11 12:59:06,2019-02-11 12:59:13,software_v1,jyn.erso,Team D
VEHICLE0177,manual,2019-02-11 12:59:09,2019-02-11 12:59:23,software_v1,leia.organa,Team D
VEHICLE0177,manual,2019-02-11 12:59:23,2019-02-11 12:59:34,software_v1,leia.organa,Team D
VEHICLE0177,manual,2019-02-11 12:59:34,2019-02-11 12:59:41,software_v1,leia.organa,Team D
VEHICLE0177,manual,2019-02-11 12:59:41,2019-02-11 12:59:45,software_v1,leia.organa,Team D
VEHICLE0158,manual,2019-02-11 12:59:13,2019-02-11 13:00:58,software_v1,jyn.erso,Team D
VEHICLE0177,parked,2019-02-11 12:59:45,2019-02-11 13:04:26,software_v1,leia.organa,Team D
VEHICLE0177,autonomous,2019-02-11 13:04:26,2019-02-11 13:04:30,software_v1,leia.organa,Team D
VEHICLE0177,autonomous,2019-02-11 13:04:30,2019-02-11 13:04:49,software_v1,leia.organa,Team D
VEHICLE0177,manual,2019-02-11 13:04:49,2019-02-11 13:04:52,software_v1,leia.organa,Team D
VEHICLE0158,autonomous,2019-02-11 13:04:50,2019-02-11 13:04:54,software_v1,jyn.erso,Team D
VEHICLE0158,autonomous,2019-02-11 13:04:54,2019-02-11 13:05:01,software_v1,jyn.erso,Team D
VEHICLE0158,manual,2019-02-11 13:05:01,2019-02-11 13:05:18,software_v1,jyn.erso,Team D
VEHICLE0158,autonomous,2019-02-11 13:05:18,2019-02-11 13:05:30,software_v1,jyn.erso,Team D
VEHICLE0177,manual,2019-02-11 13:04:52,2019-02-11 13:06:06,software_v1,leia.organa,Team D
VEHICLE0158,manual,2019-02-11 13:05:30,2019-02-11 13:06:07,software_v1,jyn.erso,Team D
VEHICLE0177,autonomous,2019-02-11 13:06:06,2019-02-11 13:06:10,software_v1,leia.organa,Team D
VEHICLE0177,autonomous,2019-02-11 13:06:10,2019-02-11 13:06:14,software_v1,leia.organa,Team D
VEHICLE0177,autonomous,2019-02-11 13:06:14,2019-02-11 13:06:21,software_v1,leia.organa,Team D
VEHICLE0158,manual,2019-02-11 13:06:07,2019-02-11 13:06:41,software_v1,jyn.erso,Team D
VEHICLE0177,manual,2019-02-11 13:06:21,2019-02-11 13:06:46,software_v1,leia.organa,Team D
VEHICLE0177,autonomous,2019-02-11 13:06:46,2019-02-11 13:07:00,software_v1,leia.organa,Team D
VEHICLE0158,autonomous,2019-02-11 13:06:41,2019-02-11 13:07:02,software_v1,jyn.erso,Team D
VEHICLE0177,autonomous,2019-02-11 13:07:00,2019-02-11 13:07:04,software_v1,leia.organa,Team D
VEHICLE0177,autonomous,2019-02-11 13:07:04,2019-02-11 13:07:17,software_v1,leia.organa,Team D
VEHICLE0158,autonomous,2019-02-11 13:07:02,2019-02-11 13:08:05,software_v1,jyn.erso,Team D
VEHICLE0158,manual,2019-02-11 13:08:05,2019-02-11 13:08:18,software_v1,jyn.erso,Team D
VEHICLE0158,autonomous,2019-02-11 13:08:18,2019-02-11 13:08:22,software_v1,jyn.erso,Team D
